1,litres,litres,1
2,kg,kg,2
3,tonnes,tonnes,3
4,kWh (Gross CV),kWh (Gross CV),4
5,kWh (Net CV),kWh (Net CV),5
6,kWh,kWh,6
7,tonnes,tonnes,7
12,Km,Km,8
13,litres,litres,9
14,Gj,Gj,10
