1,Completed,Completed,1
2,Error,Error,2
3,Query Raised,Query Raised,3
4,Rejected,Rejected,4
5,Success,Success,5
6,Pending,Pending,6
7,Yet to Start,Yet to Start,7
8,Approved,Approved,8
9,Query Responsed,Query Responsed,9
