1,Mandatory Validation,Mandatory Validation,1
2,Length Validation,Length Validation,2
3,MasterData Validation,MasterData Validation,3
4,Date Format Validation,Date Format Validation,4
5,Uniqueness Check validation,Uniqueness Check validation,5
6,File Upload Validation,File Upload Validation,6
